,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,TOTAL_SCORE,AVG_SCORE,CLASS
1719,5,5,5,5,5,5,4,5,39,4.875,1
2903,4,4,3,4,3,4,4,5,31,3.875,1
80,4,4,3,4,3,4,3,5,30,3.75,0
2326,3,5,5,3,5,5,3,5,34,4.25,1
1795,3,2,3,3,3,3,3,5,25,3.125,0
1044,3,3,4,4,4,3,3,4,28,3.5,0
2278,5,5,4,4,5,4,4,5,36,4.5,1
1078,5,4,4,4,4,4,4,5,34,4.25,1
347,5,5,4,5,4,5,4,5,37,4.625,0
2142,4,5,5,3,3,5,3,5,33,4.125,0
2644,5,4,3,3,3,4,4,5,31,3.875,0
1168,4,4,4,3,3,4,4,5,31,3.875,1
150,4,3,2,4,3,4,3,5,28,3.5,0
479,5,5,5,5,5,5,5,5,40,5.0,1
2783,4,4,4,4,4,4,4,5,33,4.125,0
2705,5,4,4,4,4,4,4,5,34,4.25,1
885,4,5,5,5,5,5,5,3,37,4.625,0
2096,5,5,4,4,5,4,4,5,36,4.5,1
1894,4,4,4,4,3,3,3,5,30,3.75,1
548,4,3,3,3,3,3,2,5,26,3.25,0
2481,4,3,4,3,4,3,4,5,30,3.75,0
457,5,4,4,4,4,4,4,4,33,4.125,1
294,5,5,4,4,5,4,4,5,36,4.5,1
1810,4,5,5,5,4,4,4,5,36,4.5,1
1632,5,5,4,5,4,4,5,4,36,4.5,1
2861,5,4,4,3,3,4,4,4,31,3.875,0
2379,4,3,4,4,3,3,3,3,27,3.375,0
1411,4,4,5,5,4,5,5,5,37,4.625,0
1869,5,4,5,5,5,4,4,4,36,4.5,1
2022,4,3,4,4,3,4,3,5,30,3.75,0
1759,5,3,3,3,3,3,2,5,27,3.375,1
689,3,3,4,4,4,4,4,5,31,3.875,0
2923,5,5,5,5,5,5,4,5,39,4.875,1
204,5,4,5,5,5,5,4,5,38,4.75,1
605,4,4,4,4,5,4,4,5,34,4.25,0
2005,3,3,3,3,3,2,2,4,23,2.875,0
1603,3,4,3,4,3,4,3,5,29,3.625,1
510,3,3,4,3,4,3,3,3,26,3.25,1
626,4,4,3,4,3,4,3,5,30,3.75,0
1380,4,4,4,4,4,4,4,5,33,4.125,1
1480,5,5,5,5,5,4,4,4,37,4.625,1
766,4,4,3,3,3,4,4,3,28,3.5,0
1499,4,3,4,3,4,3,3,5,29,3.625,0
505,4,3,4,4,4,3,3,4,29,3.625,0
2979,4,5,4,5,4,4,4,5,35,4.375,1
1552,4,3,4,3,3,3,2,5,27,3.375,1
306,4,3,4,4,4,3,3,5,30,3.75,0
2241,5,4,4,4,4,4,4,5,34,4.25,1
1537,4,4,4,4,3,3,3,5,30,3.75,1
108,5,4,4,4,4,4,3,3,31,3.875,0
1507,5,4,5,5,5,4,4,5,37,4.625,1
1178,4,4,4,3,4,4,3,5,31,3.875,0
2350,4,3,3,3,3,3,2,5,26,3.25,0
544,4,4,4,3,3,4,3,5,30,3.75,1
1639,4,4,4,4,4,4,3,5,32,4.0,1
2249,4,3,3,3,3,3,2,5,26,3.25,1
2555,5,5,4,4,5,5,4,3,35,4.375,1
2367,4,3,3,4,5,4,3,5,31,3.875,0
2567,5,5,4,5,4,5,5,5,38,4.75,1
686,4,4,3,4,4,4,4,5,32,4.0,0
1992,4,5,4,5,5,5,5,5,38,4.75,1
1322,5,5,5,5,5,4,4,3,36,4.5,1
2702,3,4,3,3,3,3,3,5,27,3.375,0
756,5,4,4,4,4,5,4,5,35,4.375,1
1950,4,4,5,5,4,5,5,5,37,4.625,0
2771,4,4,4,4,5,4,4,5,34,4.25,0
2141,4,5,5,5,5,5,5,3,37,4.625,0
2897,3,3,3,2,3,3,3,5,25,3.125,0
579,4,4,4,5,5,4,3,5,34,4.25,0
1187,4,3,4,3,3,3,3,5,28,3.5,1
701,5,4,3,3,3,3,2,3,26,3.25,0
1605,5,4,4,3,3,4,4,4,31,3.875,0
1392,5,3,5,4,4,3,3,5,32,4.0,1
2085,5,4,4,4,4,4,4,4,33,4.125,1
1751,5,3,5,4,4,4,3,4,32,4.0,0
1318,5,4,5,5,4,4,4,5,36,4.5,0
1360,4,4,4,3,4,4,3,5,31,3.875,0
2335,4,4,4,4,4,4,4,4,32,4.0,1
1341,4,5,5,5,5,5,5,5,39,4.875,1
2351,3,3,3,2,3,3,3,5,25,3.125,0
280,4,4,3,4,3,4,3,4,29,3.625,0
2254,5,5,5,5,5,5,4,5,39,4.875,1
2727,3,3,3,3,3,3,3,4,25,3.125,0
933,4,3,3,3,5,3,3,3,27,3.375,0
2237,4,4,4,4,4,4,4,5,33,4.125,0
672,4,4,5,4,4,4,3,5,33,4.125,0
934,5,5,5,5,5,4,4,4,37,4.625,1
2064,4,3,3,3,4,3,4,5,29,3.625,0
289,5,4,4,4,4,4,3,4,32,4.0,0
1815,4,3,3,3,3,3,2,5,26,3.25,0
866,4,5,5,5,5,4,5,5,38,4.75,1
203,5,4,4,4,4,4,4,3,32,4.0,1
105,5,5,4,5,5,5,5,5,39,4.875,1
43,4,3,4,3,4,3,3,5,29,3.625,0
1081,5,4,5,5,5,5,4,5,38,4.75,0
2426,4,3,2,3,2,2,3,5,24,3.0,1
1908,4,3,4,3,3,3,3,5,28,3.5,1
2162,4,3,3,4,3,3,3,5,28,3.5,0
2435,4,4,4,4,3,4,4,5,32,4.0,1
905,4,4,4,4,5,5,5,3,34,4.25,1
792,3,3,3,4,3,3,3,5,27,3.375,1
2918,5,5,5,5,5,4,4,4,37,4.625,1
921,3,4,4,4,3,4,4,5,31,3.875,1
1194,4,4,4,4,3,4,3,5,31,3.875,0
1843,4,3,4,4,3,4,3,5,30,3.75,0
1557,5,4,4,4,4,3,3,5,32,4.0,0
1122,4,3,4,4,3,4,3,5,30,3.75,0
2719,5,3,3,4,3,3,3,5,29,3.625,1
2659,4,3,4,3,4,3,4,4,29,3.625,1
1986,5,5,4,5,4,4,5,4,36,4.5,1
49,5,4,5,5,5,4,4,5,37,4.625,1
2321,5,4,3,3,3,3,2,3,26,3.25,0
690,5,4,4,4,5,4,5,5,36,4.5,0
868,4,4,3,4,4,4,4,5,32,4.0,0
2787,5,4,4,4,4,4,4,5,34,4.25,1
2094,5,4,4,4,4,4,3,5,33,4.125,1
2121,4,4,5,5,4,5,5,5,37,4.625,0
125,4,4,4,4,4,4,3,5,32,4.0,0
1280,4,4,4,3,3,3,3,3,27,3.375,1
1344,3,4,3,4,3,4,3,5,29,3.625,1
1814,4,4,4,4,4,4,3,5,32,4.0,1
1717,4,4,4,3,4,4,3,5,31,3.875,0
282,4,4,5,4,4,4,4,5,34,4.25,0
2929,5,3,3,4,5,3,3,3,29,3.625,1
2875,4,3,4,2,2,2,2,5,24,3.0,0
2625,4,3,4,3,3,3,3,5,28,3.5,1
957,5,4,5,5,5,4,4,5,37,4.625,1
350,5,4,4,4,4,4,4,5,34,4.25,1
155,5,4,3,3,3,3,2,3,26,3.25,0
2665,4,3,4,4,4,3,3,5,30,3.75,1
2726,4,4,3,4,4,4,3,5,31,3.875,0
1556,4,4,5,4,4,4,4,5,34,4.25,0
1573,5,4,5,5,5,5,4,5,38,4.75,1
900,3,4,3,3,3,3,3,5,27,3.375,0
1636,4,4,4,3,3,4,3,5,30,3.75,1
675,4,3,4,3,4,3,4,4,29,3.625,1
2008,5,3,3,3,3,3,3,4,27,3.375,0
1930,5,4,5,5,5,5,4,5,38,4.75,1
1060,4,3,2,4,3,4,3,5,28,3.5,0
2865,5,5,5,5,5,5,5,5,40,5.0,0
2952,4,3,3,3,3,3,3,5,27,3.375,1
2488,4,4,3,4,4,4,4,5,32,4.0,0
2747,5,3,3,4,5,3,3,3,29,3.625,1
964,5,3,4,4,4,4,3,5,32,4.0,0
536,3,4,3,3,3,3,3,5,27,3.375,0
2725,3,3,3,3,3,2,2,4,23,2.875,0
2652,5,5,5,5,5,5,3,5,38,4.75,1
443,4,3,4,3,4,3,3,4,28,3.5,1
2899,4,4,3,3,3,3,3,5,28,3.5,1
1682,5,5,5,5,5,5,4,5,39,4.875,1
2338,3,4,3,3,3,3,3,5,27,3.375,0
520,5,5,5,5,5,4,5,5,39,4.875,1
144,5,4,4,4,5,4,5,5,36,4.5,0
447,4,3,3,3,3,3,2,5,26,3.25,1
475,5,4,4,4,4,4,3,5,33,4.125,1
2608,4,3,2,3,2,2,3,5,24,3.0,1
1813,4,5,4,5,5,5,5,5,38,4.75,1
1535,4,3,4,3,4,3,3,4,28,3.5,1
2294,5,3,3,3,3,3,2,5,27,3.375,1
2253,4,4,4,4,3,4,4,5,32,4.0,1
945,5,3,3,4,5,3,3,3,29,3.625,1
1180,5,5,5,5,5,5,4,5,39,4.875,1
1568,5,5,4,4,5,4,4,5,36,4.5,1
1529,4,4,4,4,3,4,3,4,30,3.75,1
2501,5,5,5,5,5,5,5,5,40,5.0,0
1443,4,4,4,4,4,4,4,4,32,4.0,1
2781,4,3,3,3,3,3,3,5,27,3.375,1
1383,5,5,4,4,5,4,5,3,35,4.375,0
1452,4,3,3,4,3,3,3,5,28,3.5,0
388,5,5,5,5,5,4,4,4,37,4.625,1
362,4,4,4,3,3,4,3,5,30,3.75,1
870,4,3,4,4,3,4,4,5,31,3.875,0
2580,5,5,5,5,5,5,4,5,39,4.875,1
434,3,4,3,4,3,4,3,5,29,3.625,1
1368,3,3,3,3,3,3,3,5,26,3.25,0
119,5,4,5,5,5,4,4,4,36,4.5,1
2391,4,3,4,3,4,3,3,5,29,3.625,0
620,3,4,4,4,3,4,3,5,30,3.75,1
1256,3,2,3,3,3,3,3,5,25,3.125,0
39,5,5,5,5,5,4,4,5,38,4.75,1
713,4,3,3,3,3,3,3,5,27,3.375,1
872,5,4,4,4,5,4,5,5,36,4.5,0
2246,4,4,3,4,3,4,3,5,30,3.75,0
1569,4,3,4,4,4,3,3,4,29,3.625,1
367,3,3,3,2,3,3,3,5,25,3.125,0
1852,5,5,5,5,5,4,4,5,38,4.75,1
77,3,4,4,3,4,4,3,5,30,3.75,0
2856,5,4,4,4,5,4,5,5,36,4.5,0
1978,4,3,3,3,3,3,3,5,27,3.375,1
2552,5,4,5,5,5,5,4,5,38,4.75,1
2266,4,4,5,4,4,4,4,5,34,4.25,0
1084,4,5,4,4,4,4,4,5,34,4.25,0
891,4,3,4,2,2,2,2,5,24,3.0,0
86,4,4,4,3,4,4,3,5,31,3.875,0
2116,5,5,5,5,5,5,4,5,39,4.875,0
1316,5,4,5,5,5,4,4,5,37,4.625,1
1865,5,5,5,5,5,5,4,5,39,4.875,1
1125,4,4,4,5,5,4,3,5,34,4.25,0
311,4,3,4,3,4,3,4,4,29,3.625,1
1769,4,5,5,5,5,4,5,5,38,4.75,1
724,4,3,3,4,3,3,3,5,28,3.5,0
1808,4,4,4,4,5,5,5,3,34,4.25,1
2905,3,4,4,4,3,4,4,5,31,3.875,1
1876,4,4,4,4,4,4,4,4,32,4.0,1
553,5,3,3,4,3,3,3,5,29,3.625,1
298,5,4,5,5,5,5,4,5,38,4.75,1
1977,3,4,3,4,3,4,3,5,29,3.625,1
1343,4,3,3,3,3,3,3,5,27,3.375,1
360,4,3,3,4,3,3,3,5,28,3.5,0
327,3,3,3,3,4,3,3,3,25,3.125,1
2587,4,5,4,4,4,5,4,5,35,4.375,1
1545,3,3,3,3,3,2,2,4,23,2.875,1
1427,5,5,5,5,5,5,5,5,40,5.0,0
826,4,4,3,4,3,4,3,4,29,3.625,0
1741,5,4,4,4,4,4,3,5,33,4.125,1
1851,4,4,3,3,3,4,4,3,28,3.5,0
2146,4,3,4,4,4,3,3,5,30,3.75,1
492,5,3,3,3,3,3,2,5,27,3.375,1
1909,4,3,4,3,3,3,2,5,27,3.375,1
1833,5,4,5,4,4,4,4,5,35,4.375,1
1239,3,4,3,4,3,4,3,5,29,3.625,1
364,4,5,4,5,5,5,5,5,38,4.75,1
2381,4,4,4,5,5,4,3,5,34,4.25,0
2646,5,4,5,5,5,5,4,5,38,4.75,1
246,3,3,3,4,3,3,3,5,27,3.375,1
287,5,5,4,5,5,5,5,5,39,4.875,1
1944,4,3,3,2,3,2,3,4,24,3.0,1
1495,5,5,5,5,5,4,4,5,38,4.75,1
2701,5,4,5,5,5,5,4,5,38,4.75,0
2933,5,5,5,5,5,4,4,5,38,4.75,1
804,4,4,4,3,3,4,4,5,31,3.875,1
2672,4,3,4,4,3,4,4,5,31,3.875,0
2810,4,4,3,4,3,4,3,4,29,3.625,0
58,4,3,3,3,3,3,3,5,27,3.375,1
728,4,5,4,5,5,5,5,5,38,4.75,1
2288,5,5,5,5,5,5,3,5,38,4.75,1
1939,4,4,5,4,4,4,3,5,33,4.125,0
2604,3,4,4,4,3,4,3,5,30,3.75,1
875,3,4,3,4,3,4,3,5,29,3.625,1
2569,5,5,5,5,5,4,4,5,38,4.75,1
1037,5,3,5,4,5,5,3,5,35,4.375,1
2301,4,3,4,4,4,3,3,5,30,3.75,1
2178,4,3,3,2,3,3,2,5,25,3.125,0
1664,5,5,4,5,5,4,4,5,37,4.625,0
1596,4,4,3,4,4,4,4,5,32,4.0,0
1485,5,5,5,5,5,5,4,5,39,4.875,1
2154,4,4,4,4,3,3,3,5,30,3.75,0
2829,5,4,5,5,5,5,4,5,38,4.75,1
989,4,3,4,3,4,3,3,4,28,3.5,1
68,4,4,4,4,4,4,4,4,32,4.0,1
2414,4,4,4,4,4,4,4,5,33,4.125,1
2013,5,4,4,4,4,4,4,3,32,4.0,1
890,4,3,4,4,4,3,3,5,30,3.75,1
2710,4,4,4,3,3,4,3,5,30,3.75,1
1140,5,5,5,5,5,4,4,3,36,4.5,1
1703,4,3,3,3,4,3,4,5,29,3.625,0
1999,5,3,3,4,3,3,3,5,29,3.625,1
2339,4,3,3,3,3,3,3,5,27,3.375,1
1844,4,3,4,4,3,3,3,3,27,3.375,0
549,3,3,3,2,3,3,3,5,25,3.125,0
2276,5,4,4,4,4,4,3,5,33,4.125,1
2098,5,4,3,3,3,4,4,5,31,3.875,0
2286,5,3,5,4,4,4,3,4,32,4.0,0
950,5,5,5,5,5,4,4,5,38,4.75,1
2770,4,3,3,3,3,3,3,5,27,3.375,1
2745,4,4,4,5,5,4,3,5,34,4.25,0
1916,4,4,4,4,4,4,4,5,33,4.125,0
300,5,3,5,4,4,3,3,5,32,4.0,1
1290,5,3,3,3,3,3,3,4,27,3.375,0
180,4,4,4,3,3,4,3,5,30,3.75,1
1371,2,2,3,3,3,3,3,5,24,3.0,0
1200,5,4,4,4,4,4,3,3,31,3.875,0
344,4,3,4,4,4,3,3,5,30,3.75,1
1424,4,3,2,4,3,4,3,5,28,3.5,0
417,5,4,5,5,4,4,4,3,34,4.25,1
396,5,5,4,5,5,4,4,5,37,4.625,0
680,3,3,4,4,4,3,3,4,28,3.5,0
1012,4,4,4,4,3,4,3,5,31,3.875,0
1516,3,3,3,4,3,3,3,5,27,3.375,1
2336,4,4,4,4,3,3,3,5,30,3.75,0
2976,5,3,3,4,3,3,3,4,28,3.5,0
928,4,4,4,5,5,4,4,5,35,4.375,0
1970,4,5,3,5,5,5,3,5,35,4.375,1
2159,5,4,4,4,4,4,4,5,34,4.25,1
1467,3,4,4,4,3,4,4,5,31,3.875,1
759,4,3,4,4,3,3,3,3,27,3.375,0
1189,2,2,3,3,3,3,3,5,24,3.0,0
720,4,5,4,4,4,4,4,5,34,4.25,0
2740,5,4,4,4,4,5,4,5,35,4.375,1
2306,4,4,3,4,4,4,4,5,32,4.0,0
652,4,4,4,4,4,4,4,5,33,4.125,1
757,5,5,5,5,5,5,4,5,39,4.875,1
2589,4,4,4,4,5,4,4,5,34,4.25,0
2675,3,3,3,3,4,3,3,3,25,3.125,1
1265,4,3,3,3,3,3,3,5,27,3.375,1
106,4,4,4,4,4,4,4,5,33,4.125,1
1145,5,4,5,5,4,4,4,3,34,4.25,1
879,5,5,5,4,5,4,5,5,38,4.75,0
860,5,5,5,5,5,5,4,5,39,4.875,0
1114,5,4,5,5,5,5,4,5,38,4.75,1
2849,4,4,5,5,4,5,5,5,37,4.625,0
1068,4,5,5,3,3,5,3,5,33,4.125,0
597,5,4,5,5,5,4,4,5,37,4.625,1
1102,5,5,5,5,5,5,4,5,39,4.875,0
723,4,4,4,4,5,5,5,3,34,4.25,1
2164,4,4,4,3,3,4,3,5,30,3.75,1
2406,4,3,3,3,3,3,3,5,27,3.375,1
2250,3,4,4,4,4,4,4,5,32,4.0,1
610,3,3,3,4,3,3,3,5,27,3.375,1
567,5,4,4,4,4,4,4,3,32,4.0,1
769,5,4,5,5,5,4,4,3,35,4.375,1
2357,4,4,3,4,3,4,4,5,31,3.875,1
717,5,4,5,5,5,5,4,5,38,4.75,0
2095,5,4,4,4,4,4,3,5,33,4.125,1
1269,4,4,4,4,5,5,5,3,34,4.25,1
1555,4,4,4,3,3,4,3,5,30,3.75,1
977,4,5,5,5,5,5,5,5,39,4.875,1
1777,3,3,4,3,4,3,3,3,26,3.25,1
2174,4,4,4,4,4,4,4,5,33,4.125,1
1441,4,3,3,3,3,3,3,5,27,3.375,1
2344,4,3,3,4,3,3,3,5,28,3.5,0
141,4,3,4,4,4,3,3,4,29,3.625,0
2840,5,3,3,3,3,3,2,5,27,3.375,1
2638,5,4,4,4,4,4,3,3,31,3.875,0
2624,3,3,3,3,3,3,3,5,26,3.25,0
2429,4,4,4,4,3,3,3,5,30,3.75,1
2067,5,4,4,4,4,4,4,5,34,4.25,1
351,4,4,4,4,4,4,4,4,32,4.0,1
1064,4,3,3,4,3,3,3,3,26,3.25,1
799,4,4,4,4,4,4,4,5,33,4.125,0
1996,4,4,3,3,4,4,3,5,30,3.75,1
2314,4,4,4,3,4,4,3,4,30,3.75,0
2138,4,3,3,4,3,3,3,3,26,3.25,1
2804,4,3,3,3,3,3,2,5,26,3.25,1
185,3,3,3,2,3,3,3,5,25,3.125,0
2304,4,5,5,5,5,4,5,5,38,4.75,1
577,4,3,4,4,3,3,3,3,27,3.375,0
2076,3,4,4,4,4,4,4,5,32,4.0,1
2616,4,4,4,3,4,4,3,5,31,3.875,0
1214,5,5,5,5,5,5,3,5,38,4.75,1
2403,4,4,4,4,3,4,4,5,32,4.0,0
940,4,3,4,4,3,4,3,5,30,3.75,0
1521,5,5,3,5,3,5,5,5,36,4.5,1
1988,4,3,4,4,4,3,3,5,30,3.75,0
503,4,5,5,5,5,4,5,5,38,4.75,1
1377,4,4,4,4,4,4,4,5,33,4.125,0
949,5,5,5,5,5,4,4,5,38,4.75,1
760,5,5,4,5,5,4,4,5,37,4.625,0
2334,5,4,4,4,4,4,4,5,34,4.25,1
1995,3,3,3,2,3,3,3,5,25,3.125,0
259,3,4,4,3,4,4,3,5,30,3.75,0
1138,5,3,3,3,4,3,3,3,27,3.375,0
2298,5,5,5,5,5,5,4,5,39,4.875,0
2615,4,5,4,5,4,4,4,5,35,4.375,1
172,3,4,3,3,3,3,3,5,27,3.375,0
1301,5,5,5,5,5,4,4,3,36,4.5,1
1666,5,4,5,5,5,5,5,5,39,4.875,1
285,4,4,4,4,4,4,4,5,33,4.125,0
569,4,3,3,3,5,3,3,3,27,3.375,0
704,4,5,5,3,3,5,3,5,33,4.125,0
325,3,3,4,4,4,4,4,5,31,3.875,0
27,5,5,5,5,5,4,4,3,36,4.5,1
987,3,4,4,3,4,4,3,5,30,3.75,0
1803,3,4,3,3,3,3,3,5,27,3.375,0
2544,4,4,3,4,4,4,3,5,31,3.875,0
1531,5,4,4,4,4,4,4,5,34,4.25,1
2337,5,4,5,5,5,5,4,5,38,4.75,0
1172,4,4,3,4,3,4,3,5,30,3.75,0
822,3,3,3,3,3,3,3,5,26,3.25,0
2730,4,4,4,5,5,4,4,5,35,4.375,0
765,5,5,4,5,4,5,5,5,38,4.75,1
2292,4,4,5,4,4,4,3,5,33,4.125,0
120,5,3,5,4,4,4,3,4,32,4.0,0
1588,5,5,5,5,5,5,4,5,39,4.875,0
2643,4,3,4,4,4,3,3,4,29,3.625,1
2721,4,4,3,4,3,4,4,5,31,3.875,1
1170,4,3,2,3,2,2,3,5,24,3.0,1
1649,3,4,4,4,3,4,4,5,31,3.875,1
262,4,4,3,4,3,4,3,5,30,3.75,0
1565,5,5,4,4,5,4,5,3,35,4.375,0
1176,3,4,4,4,4,4,4,5,32,4.0,1
718,3,4,3,3,3,3,3,5,27,3.375,0
1226,3,3,4,4,4,3,3,4,28,3.5,0
221,5,5,5,5,5,4,4,5,38,4.75,1
640,3,3,3,3,3,3,3,5,26,3.25,0
151,5,5,5,4,5,4,5,5,38,4.75,0
1428,4,3,3,4,3,3,3,3,26,3.25,1
1572,5,4,5,5,5,5,4,5,38,4.75,1
1953,4,4,3,4,4,4,4,5,32,4.0,0
1496,5,5,5,5,5,4,4,5,38,4.75,1
2126,4,3,4,4,3,4,4,5,31,3.875,0
1804,4,3,3,3,3,3,3,5,27,3.375,1
2631,5,4,4,4,4,3,3,5,32,4.0,0
2139,5,4,3,3,3,3,2,3,26,3.25,0
1050,4,4,3,4,4,4,4,5,32,4.0,0
409,5,3,4,4,3,4,3,5,31,3.875,0
1478,5,4,5,5,5,5,4,5,38,4.75,1
1338,3,3,3,4,3,3,3,5,27,3.375,1
333,5,5,5,4,5,4,5,5,38,4.75,0
1197,5,5,4,5,5,5,5,5,39,4.875,1
965,4,4,4,4,3,4,4,5,32,4.0,0
1712,4,4,4,4,3,3,3,5,30,3.75,1
2549,4,3,3,4,5,4,3,5,31,3.875,0
1945,5,5,5,5,5,5,4,5,39,4.875,0
800,4,3,3,3,4,3,4,5,29,3.625,0
1659,5,5,5,5,5,4,4,3,36,4.5,1
1768,4,4,5,5,4,5,5,5,37,4.625,0
2526,4,3,3,4,3,3,3,5,28,3.5,0
198,5,3,3,3,3,3,3,4,27,3.375,0
469,5,5,4,5,5,5,5,5,39,4.875,1
2151,4,3,3,3,3,3,3,5,27,3.375,1
2517,4,4,4,4,4,4,4,4,32,4.0,1
2685,5,4,3,3,3,3,2,3,26,3.25,0
2663,4,3,4,3,4,3,4,5,30,3.75,0
255,4,4,4,4,3,4,3,4,30,3.75,1
10,5,5,5,5,5,5,4,5,39,4.875,0
1581,4,4,4,4,4,4,3,5,32,4.0,0
2222,5,4,5,5,5,4,4,4,36,4.5,1
655,5,5,4,4,5,4,5,3,35,4.375,0
1744,4,3,4,4,4,3,3,4,29,3.625,1
481,5,4,5,5,5,5,4,5,38,4.75,1
158,4,5,5,3,3,5,3,5,33,4.125,0
1693,4,4,4,3,4,4,3,4,30,3.75,0
897,4,4,4,4,4,4,4,4,32,4.0,1
871,3,3,4,4,4,4,4,5,31,3.875,0
2463,5,5,5,5,5,5,5,5,40,5.0,1
2287,5,5,5,5,5,4,3,4,36,4.5,1
1227,4,3,4,4,4,3,3,5,30,3.75,1
1892,4,3,4,3,4,3,3,4,28,3.5,1
1943,4,3,4,4,4,3,3,3,28,3.5,1
1512,5,4,5,5,5,4,4,4,36,4.5,1
1631,5,4,4,4,4,4,4,5,34,4.25,1
332,4,3,2,4,3,4,3,5,28,3.5,0
770,5,4,5,5,5,4,4,5,37,4.625,1
1029,5,4,5,5,5,4,4,4,36,4.5,1
449,4,5,4,5,4,4,4,5,35,4.375,1
1606,4,3,2,4,3,4,3,5,28,3.5,0
38,4,4,3,3,3,4,4,3,28,3.5,0
1471,3,3,3,3,3,3,3,4,25,3.125,0
2343,4,4,4,4,5,5,5,3,34,4.25,1
154,4,3,3,4,3,3,3,3,26,3.25,1
450,4,4,4,3,4,4,3,5,31,3.875,0
142,4,3,4,4,3,4,4,5,31,3.875,0
2753,5,4,5,5,5,4,4,3,35,4.375,1
1560,4,5,4,4,4,4,4,5,34,4.25,0
1793,4,3,4,4,4,3,3,5,30,3.75,1
301,5,4,5,5,5,4,4,4,36,4.5,1
929,4,3,3,4,5,4,3,5,31,3.875,0
1926,4,3,4,4,4,3,3,4,29,3.625,1
2762,5,5,5,5,5,5,4,5,39,4.875,1
336,4,3,3,4,3,3,3,3,26,3.25,1
1842,5,5,5,5,5,5,4,5,39,4.875,1
1593,4,4,5,5,4,5,5,5,37,4.625,0
2884,3,4,3,3,3,3,3,5,27,3.375,0
774,5,3,3,3,4,3,3,3,27,3.375,0
2474,4,4,5,4,4,4,3,5,33,4.125,0
1061,5,5,5,4,5,4,5,5,38,4.75,0
1008,4,4,3,4,3,4,3,4,29,3.625,0
1517,4,4,4,3,3,3,3,5,29,3.625,1
1991,4,4,4,3,3,4,3,5,30,3.75,1
2130,3,3,4,3,4,3,3,3,26,3.25,1
471,5,4,4,4,4,4,3,4,32,4.0,0
2152,5,4,4,4,4,4,4,5,34,4.25,1
2949,4,4,4,4,3,4,4,5,32,4.0,0
887,4,5,3,5,5,5,3,5,35,4.375,1
2961,4,5,5,5,5,5,5,5,39,4.875,1
1674,5,4,5,5,5,4,4,5,37,4.625,1
2210,5,4,5,5,4,4,4,5,36,4.5,0
2926,5,5,4,5,5,4,4,5,37,4.625,0
1841,5,4,4,4,4,5,4,5,35,4.375,1
2847,4,3,4,4,4,3,3,5,30,3.75,1
646,4,4,5,4,4,4,4,5,34,4.25,0
1809,4,3,3,4,3,3,3,5,28,3.5,0
776,5,5,5,5,5,4,4,3,36,4.5,1
2590,3,3,3,4,3,3,3,5,27,3.375,1
130,4,3,4,4,4,3,3,3,28,3.5,1
2927,4,4,4,5,5,4,3,5,34,4.25,0
1907,3,3,3,3,3,3,3,5,26,3.25,0
