,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,TOTAL_SCORE,AVG_SCORE,CLASS
2831,5,4,5,5,5,4,4,4,36,4.5,1
193,3,4,4,4,3,4,4,5,31,3.875,1
2155,5,4,5,5,5,5,4,5,38,4.75,0
2835,5,4,4,4,4,4,4,5,34,4.25,0
1193,5,4,4,4,4,3,3,5,32,4.0,0
955,5,3,4,4,3,4,3,5,31,3.875,0
2864,4,2,4,4,3,3,3,5,28,3.5,0
1129,5,5,4,5,4,5,5,5,38,4.75,1
1091,4,4,4,3,3,4,3,5,30,3.75,1
490,4,4,5,4,4,4,3,5,33,4.125,0
1158,4,4,4,4,4,4,4,5,33,4.125,1
1486,4,3,4,4,3,4,3,5,30,3.75,0
1678,5,3,3,3,4,3,3,3,27,3.375,0
2666,4,4,4,4,4,3,3,5,31,3.875,1
2395,5,4,5,5,5,4,4,5,37,4.625,1
753,5,5,4,4,5,5,4,3,35,4.375,1
791,4,4,4,4,4,4,4,4,32,4.0,1
491,5,3,5,4,5,5,3,5,35,4.375,1
763,5,3,3,4,5,3,3,3,29,3.625,1
1775,5,4,4,4,5,4,5,5,36,4.5,0
2658,5,3,3,3,3,3,2,5,27,3.375,1
2757,5,3,4,4,3,4,3,5,31,3.875,0
1352,4,3,2,3,2,2,3,5,24,3.0,1
736,4,4,4,4,4,4,4,5,33,4.125,1
473,5,5,4,4,5,4,5,3,35,4.375,0
2208,5,4,5,5,5,4,4,5,37,4.625,1
574,5,4,4,4,4,5,4,5,35,4.375,1
1057,3,4,3,4,3,4,3,5,29,3.625,1
1313,5,5,5,5,5,4,4,5,38,4.75,1
629,4,3,3,3,3,3,2,5,26,3.25,1
2232,4,4,4,4,4,4,4,5,33,4.125,1
133,4,3,4,3,4,3,4,5,30,3.75,0
1500,5,4,5,5,4,4,4,5,36,4.5,0
334,4,2,4,4,3,3,3,5,28,3.5,0
2790,4,3,2,3,2,2,3,5,24,3.0,1
432,4,4,4,4,4,4,4,4,32,4.0,1
1245,5,5,5,5,5,5,5,5,40,5.0,0
2177,3,4,4,4,3,4,4,5,31,3.875,1
2583,5,4,5,5,4,4,4,3,34,4.25,1
1039,4,3,4,3,4,3,4,4,29,3.625,1
2052,3,3,3,4,3,3,3,5,27,3.375,1
348,3,4,3,4,3,4,3,5,29,3.625,1
935,5,5,4,4,5,5,4,3,35,4.375,1
954,5,4,5,5,4,4,4,5,36,4.5,0
673,5,3,5,4,5,5,3,5,35,4.375,1
1062,4,2,4,4,3,3,3,5,28,3.5,0
969,4,4,4,4,5,4,4,5,34,4.25,0
1295,5,4,4,4,4,4,4,3,32,4.0,1
504,4,4,3,4,4,4,4,5,32,4.0,0
1244,4,2,4,4,3,3,3,5,28,3.5,0
2214,5,5,5,5,5,4,4,3,36,4.5,1
725,4,5,5,5,4,4,4,5,36,4.5,1
2131,3,4,3,4,3,4,3,5,29,3.625,1
2325,4,5,3,5,5,5,3,5,35,4.375,1
2269,4,4,4,4,4,4,4,5,33,4.125,0
459,4,3,4,3,3,3,3,5,28,3.5,1
662,5,4,5,5,5,5,4,5,38,4.75,1
1888,5,4,4,4,4,4,4,5,34,4.25,1
2056,3,3,3,4,3,3,3,5,27,3.375,1
2533,3,3,3,2,3,3,3,5,25,3.125,0
502,4,5,5,5,5,4,5,5,38,4.75,1
1201,5,5,4,4,5,4,5,3,35,4.375,0
637,4,4,4,4,4,4,4,5,33,4.125,0
1838,5,5,4,4,5,5,4,3,35,4.375,1
1927,5,4,3,3,3,4,4,5,31,3.875,0
1429,5,4,3,3,3,3,2,3,26,3.25,0
2947,5,4,5,5,4,4,4,3,34,4.25,1
411,5,4,5,5,5,4,4,5,37,4.625,1
2471,5,4,4,4,4,4,4,5,34,4.25,0
1355,4,4,4,4,3,3,3,5,30,3.75,1
1465,4,4,3,4,3,4,4,5,31,3.875,1
2264,4,4,3,4,3,4,3,4,29,3.625,0
132,5,5,5,5,5,5,4,5,39,4.875,0
1382,5,4,4,4,4,4,3,3,31,3.875,0
366,4,3,3,3,3,3,2,5,26,3.25,0
1764,4,3,4,3,4,3,4,5,30,3.75,0
1598,4,3,4,4,3,4,4,5,31,3.875,0
1448,4,5,4,4,4,4,4,5,34,4.25,0
2634,4,5,4,4,4,4,4,5,34,4.25,0
843,5,5,5,5,5,5,5,5,40,5.0,1
183,4,4,4,4,4,4,3,5,32,4.0,1
558,4,3,3,2,3,3,2,5,25,3.125,0
796,4,4,4,4,4,4,4,4,32,4.0,1
2853,4,3,4,4,4,3,3,4,29,3.625,0
2553,4,3,3,3,5,3,3,3,27,3.375,0
1396,5,5,5,5,5,5,3,5,38,4.75,1
862,3,3,4,4,4,3,3,4,28,3.5,0
2021,5,5,5,5,5,5,4,5,39,4.875,1
254,4,3,3,3,4,3,4,5,29,3.625,0
1990,4,4,4,3,3,4,3,5,30,3.75,1
563,4,4,4,4,4,4,4,5,33,4.125,0
295,4,3,4,4,4,3,3,4,29,3.625,1
1856,4,3,4,3,4,3,3,5,29,3.625,0
1490,5,4,5,5,5,5,5,5,39,4.875,1
2144,3,5,5,3,5,5,3,5,34,4.25,1
51,5,4,5,5,5,4,4,5,37,4.625,1
1549,5,4,4,4,4,4,4,4,33,4.125,1
1372,4,4,3,4,3,4,3,4,29,3.625,0
361,4,5,5,5,4,4,4,5,36,4.5,1
2807,4,3,4,3,3,3,3,5,28,3.5,1
1028,5,3,5,4,4,3,3,5,32,4.0,1
330,4,4,4,3,4,4,3,4,30,3.75,0
840,5,5,4,4,5,4,4,5,36,4.5,1
342,3,5,5,3,5,5,3,5,34,4.25,1
2821,5,5,4,4,5,4,5,3,35,4.375,0
2954,3,3,3,4,3,3,3,5,27,3.375,1
369,4,4,3,3,3,3,3,5,28,3.5,1
518,4,3,3,4,3,3,3,3,26,3.25,1
676,4,3,4,4,4,3,3,3,28,3.5,1
2348,4,5,4,5,5,5,5,5,38,4.75,1
2940,5,3,3,3,4,3,3,3,27,3.375,0
1654,5,3,3,3,3,3,3,4,27,3.375,0
413,5,4,5,5,5,4,4,5,37,4.625,1
1219,5,3,5,4,5,5,3,5,35,4.375,1
1454,4,4,4,3,3,4,3,5,30,3.75,1
2456,5,4,4,4,4,4,3,3,31,3.875,0
1642,4,4,3,3,4,4,3,5,30,3.75,1
1553,2,2,3,3,3,3,3,5,24,3.0,0
2303,4,4,5,5,4,5,5,5,37,4.625,0
2153,4,4,4,4,4,4,4,4,32,4.0,1
2775,4,4,4,4,4,4,4,4,32,4.0,1
387,4,3,3,3,5,3,3,3,27,3.375,0
160,3,5,5,3,5,5,3,5,34,4.25,1
2466,5,3,5,4,4,3,3,5,32,4.0,1
1493,5,5,4,5,4,5,5,5,38,4.75,1
1283,4,4,3,4,3,4,4,5,31,3.875,1
1220,5,3,3,3,3,3,2,5,27,3.375,1
1753,5,5,5,5,5,5,3,5,38,4.75,1
2400,5,5,5,5,5,5,4,5,39,4.875,1
1243,5,5,5,4,5,4,5,5,38,4.75,0
2812,4,4,5,4,4,4,4,5,34,4.25,0
878,4,3,2,4,3,4,3,5,28,3.5,0
346,3,2,3,3,3,3,3,5,25,3.125,0
1255,4,3,4,2,2,2,2,5,24,3.0,0
1063,5,5,5,5,5,5,5,5,40,5.0,0
1401,5,3,5,4,5,5,3,5,35,4.375,1
1870,4,5,4,4,4,5,4,5,35,4.375,1
75,5,4,4,4,4,4,4,5,34,4.25,1
452,5,5,5,5,5,5,4,5,39,4.875,1
867,4,5,5,5,5,4,5,5,38,4.75,1
669,5,4,4,4,4,4,4,5,34,4.25,0
880,4,2,4,4,3,3,3,5,28,3.5,0
2125,4,3,4,4,4,3,3,4,29,3.625,0
2581,5,4,5,5,5,4,4,5,37,4.625,1
1780,5,4,4,3,3,4,4,4,31,3.875,0
1350,4,4,4,3,3,4,4,5,31,3.875,1
2500,4,2,4,4,3,3,3,5,28,3.5,0
2036,5,4,5,5,4,4,4,5,36,4.5,0
2700,4,4,4,4,3,3,3,5,30,3.75,0
2668,4,5,5,5,5,4,5,5,38,4.75,1
435,4,4,4,4,4,4,4,5,33,4.125,0
2592,4,4,4,3,4,3,3,4,29,3.625,0
1446,3,4,3,3,3,3,3,5,27,3.375,0
1948,4,3,4,4,4,3,3,5,30,3.75,1
1404,4,3,4,4,4,3,3,3,28,3.5,1
1299,5,5,4,4,5,5,4,3,35,4.375,1
2386,4,4,3,3,3,4,4,3,28,3.5,0
1458,4,3,3,3,3,3,2,5,26,3.25,0
2575,5,3,4,4,3,4,3,5,31,3.875,0
2846,3,3,4,4,4,3,3,4,28,3.5,0
2655,4,4,4,4,4,4,3,5,32,4.0,0
2758,5,3,3,3,4,3,3,3,27,3.375,0
1714,4,3,3,3,3,3,2,5,26,3.25,1
1799,5,4,4,4,4,4,4,5,34,4.25,1
2661,4,3,3,2,3,2,3,4,24,3.0,1
2422,3,4,4,4,3,4,3,5,30,3.75,1
1600,5,4,4,4,5,4,5,5,36,4.5,0
700,4,3,3,4,3,3,3,3,26,3.25,1
1072,4,3,4,4,4,3,3,5,30,3.75,1
1354,4,4,3,4,3,4,3,5,30,3.75,0
2964,3,4,3,4,3,4,3,5,29,3.625,1
1722,4,4,4,4,4,4,4,5,33,4.125,0
1627,5,4,5,5,5,5,4,5,38,4.75,0
817,3,3,3,3,3,2,2,4,23,2.875,1
1328,5,3,4,4,4,4,3,5,32,4.0,0
1052,4,3,4,4,3,4,4,5,31,3.875,0
1115,4,3,3,3,5,3,3,3,27,3.375,0
2509,3,3,3,3,3,3,3,5,26,3.25,1
2272,4,4,4,4,4,4,4,5,33,4.125,1
1626,4,4,4,4,3,3,3,5,30,3.75,0
1406,5,5,5,5,5,5,4,5,39,4.875,0
2715,3,3,3,2,3,3,3,5,25,3.125,0
165,5,5,4,5,4,5,4,5,37,4.625,0
1367,5,4,4,4,4,4,4,4,33,4.125,1
1468,4,3,3,2,3,3,2,5,25,3.125,0
633,4,4,4,4,3,4,4,5,32,4.0,1
2480,5,5,5,5,5,5,4,5,39,4.875,0
2832,5,3,5,4,4,4,3,4,32,4.0,0
970,3,3,3,4,3,3,3,5,27,3.375,1
2649,5,4,5,5,5,4,4,4,36,4.5,1
2092,4,4,5,4,4,4,4,5,34,4.25,0
2588,4,3,3,3,3,3,3,5,27,3.375,1
1520,3,3,3,4,3,3,3,5,27,3.375,1
2491,3,3,4,4,4,4,4,5,31,3.875,0
1541,4,5,4,5,4,4,4,5,35,4.375,1
2073,4,4,4,4,3,3,3,5,30,3.75,1
2690,3,5,5,3,5,5,3,5,34,4.25,1
136,4,4,4,4,4,3,3,5,31,3.875,1
1965,4,3,3,4,3,3,3,3,26,3.25,1
2977,4,3,3,3,3,3,2,5,26,3.25,1
1394,5,3,5,4,4,4,3,4,32,4.0,0
2750,4,4,3,3,3,4,4,3,28,3.5,0
699,5,5,5,5,5,5,5,5,40,5.0,0
2311,3,3,3,3,4,3,3,3,25,3.125,1
1514,4,3,3,3,3,3,3,5,27,3.375,1
209,5,5,5,5,5,4,4,3,36,4.5,1
421,4,5,4,4,4,5,4,5,35,4.375,1
781,5,4,5,5,4,4,4,3,34,4.25,1
1812,4,4,4,3,3,4,3,5,30,3.75,1
586,5,5,5,5,5,4,4,5,38,4.75,1
1921,5,4,4,4,4,4,3,3,31,3.875,0
604,4,3,3,3,3,3,3,5,27,3.375,1
313,4,3,3,2,3,2,3,4,24,3.0,1
215,4,4,4,5,5,4,3,5,34,4.25,0
273,4,4,4,4,4,4,4,5,33,4.125,0
2029,5,5,4,5,4,5,5,5,38,4.75,1
2571,5,4,5,5,5,4,4,3,35,4.375,1
2772,3,3,3,4,3,3,3,5,27,3.375,1
1466,5,5,5,5,5,5,4,5,39,4.875,0
985,5,4,4,4,4,4,4,5,34,4.25,1
162,4,3,4,4,4,3,3,5,30,3.75,1
205,4,3,3,3,5,3,3,3,27,3.375,0
1121,5,5,5,5,5,5,4,5,39,4.875,1
1778,3,4,3,4,3,4,3,5,29,3.625,1
917,5,3,3,4,3,3,3,5,29,3.625,1
1311,5,5,4,5,4,5,5,5,38,4.75,1
192,5,5,5,5,5,5,4,5,39,4.875,0
2383,5,3,3,4,5,3,3,3,29,3.625,1
1474,4,4,4,5,5,4,4,5,35,4.375,0
1436,4,3,4,4,4,3,3,5,30,3.75,1
1142,5,5,5,5,5,5,4,5,39,4.875,1
2452,4,5,4,4,4,4,4,5,34,4.25,0
2869,4,5,5,5,5,5,5,3,37,4.625,0
1746,5,5,5,5,5,5,5,5,40,5.0,1
742,4,4,3,4,4,4,3,5,31,3.875,0
1447,4,3,3,3,3,3,3,5,27,3.375,1
2969,5,4,4,4,4,4,4,5,34,4.25,1
2201,5,3,3,4,5,3,3,3,29,3.625,1
1754,5,4,4,4,4,4,4,5,34,4.25,0
2373,5,5,4,4,5,5,4,3,35,4.375,1
2461,4,3,4,4,4,3,3,4,29,3.625,1
1750,5,4,5,5,5,4,4,4,36,4.5,1
2057,5,5,3,5,3,5,5,5,36,4.5,1
1461,4,4,3,3,3,3,3,5,28,3.5,1
2887,5,4,4,4,4,4,4,5,34,4.25,1
666,5,3,5,4,4,4,3,4,32,4.0,0
250,4,4,4,4,4,4,4,4,32,4.0,1
1635,4,5,5,5,4,4,4,5,36,4.5,1
275,5,4,4,4,4,4,4,4,33,4.125,1
1386,5,5,4,4,5,4,4,5,36,4.5,1
239,4,5,4,4,4,5,4,5,35,4.375,1
2532,4,3,3,3,3,3,2,5,26,3.25,0
877,5,4,4,3,3,4,4,4,31,3.875,0
1420,3,3,4,3,4,3,3,3,26,3.25,1
1625,4,4,4,4,4,4,4,4,32,4.0,1
1592,4,4,4,4,4,3,3,5,31,3.875,1
127,5,3,5,4,5,5,3,5,35,4.375,1
1738,5,4,4,4,4,4,3,4,32,4.0,0
2404,5,4,5,5,5,4,4,4,36,4.5,1
546,4,5,4,5,5,5,5,5,38,4.75,1
1765,3,3,4,4,4,3,3,4,28,3.5,0
2606,4,4,4,3,3,4,4,5,31,3.875,1
1934,5,5,5,5,5,4,3,4,36,4.5,1
32,5,5,4,5,5,4,4,5,37,4.625,0
123,5,4,4,4,4,4,4,5,34,4.25,0
685,4,5,5,5,5,4,5,5,38,4.75,1
1263,5,4,5,5,5,5,4,5,38,4.75,0
2227,4,4,4,3,3,3,3,5,29,3.625,1
1253,3,3,3,3,3,3,3,5,26,3.25,1
2760,5,5,5,5,5,4,4,3,36,4.5,1
997,4,4,4,4,3,4,4,5,32,4.0,1
1501,5,3,4,4,3,4,3,5,31,3.875,0
1013,4,4,4,4,4,4,4,5,33,4.125,0
1224,5,5,5,5,5,5,4,5,39,4.875,0
1548,4,3,3,3,3,3,2,5,26,3.25,1
687,4,3,4,4,4,3,3,4,29,3.625,0
2558,5,4,4,4,4,5,4,5,35,4.375,1
2182,5,3,3,3,3,3,3,4,27,3.375,0
2738,4,4,4,4,3,3,3,3,28,3.5,0
2512,3,2,3,3,3,3,3,5,25,3.125,0
561,3,3,3,3,3,3,3,4,25,3.125,0
2084,4,3,3,3,3,3,2,5,26,3.25,1
2695,5,5,4,5,4,5,4,5,37,4.625,0
2233,4,5,5,5,5,5,5,5,39,4.875,1
1825,4,3,3,2,3,3,2,5,25,3.125,0
1608,4,2,4,4,3,3,3,5,28,3.5,0
1910,2,2,3,3,3,3,3,5,24,3.0,0
2097,4,3,4,4,4,3,3,4,29,3.625,1
1150,4,3,3,3,3,3,3,5,27,3.375,1
489,4,4,4,4,4,4,3,5,32,4.0,0
2293,5,3,5,4,5,5,3,5,35,4.375,1
1690,4,4,4,4,5,4,4,5,34,4.25,0
2261,4,3,4,3,3,3,3,5,28,3.5,1
62,4,4,4,3,4,3,3,4,29,3.625,0
952,5,4,5,5,5,4,4,5,37,4.625,1
1182,4,4,4,4,4,4,3,5,32,4.0,0
269,4,4,4,4,3,4,4,5,32,4.0,1
2194,5,4,4,4,4,5,4,5,35,4.375,1
590,5,4,5,5,4,4,4,5,36,4.5,0
2596,4,4,4,4,4,4,4,5,33,4.125,1
1433,4,5,3,5,5,5,3,5,35,4.375,1
383,4,3,3,4,5,4,3,5,31,3.875,0
2431,4,3,3,3,3,3,2,5,26,3.25,1
1053,3,3,4,4,4,4,4,5,31,3.875,0
2683,5,5,5,5,5,5,5,5,40,5.0,0
1017,5,4,4,4,4,4,3,4,32,4.0,0
2820,5,4,4,4,4,4,3,3,31,3.875,0
515,5,5,5,4,5,4,5,5,38,4.75,0
1748,5,4,5,5,5,5,4,5,38,4.75,1
1683,5,4,5,5,5,4,4,5,37,4.625,1
516,4,2,4,4,3,3,3,5,28,3.5,0
1686,5,3,4,4,4,4,3,5,32,4.0,0
2957,4,4,4,4,4,4,4,4,32,4.0,1
2582,5,5,5,5,5,5,4,5,39,4.875,1
2215,5,4,5,5,5,4,4,5,37,4.625,1
1083,4,3,3,3,3,3,3,5,27,3.375,1
124,4,3,4,4,4,3,3,5,30,3.75,0
439,5,4,4,4,4,4,4,5,34,4.25,1
657,5,4,4,4,4,4,3,5,33,4.125,1
260,4,3,2,3,2,2,3,5,24,3.0,1
807,4,3,4,3,4,3,3,4,28,3.5,1
1558,4,4,4,4,3,4,3,5,31,3.875,0
2902,4,4,4,4,4,4,4,5,33,4.125,1
232,5,5,5,5,5,5,4,5,39,4.875,1
1088,4,3,3,4,3,3,3,5,28,3.5,0
1494,4,4,3,3,3,4,4,3,28,3.5,0
2893,4,4,4,3,3,4,3,5,30,3.75,1
1331,4,5,4,4,4,5,4,5,35,4.375,1
2777,5,5,3,5,3,5,5,5,36,4.5,1
2313,3,4,3,4,3,4,3,5,29,3.625,1
1374,4,4,5,4,4,4,4,5,34,4.25,0
1456,4,5,4,5,5,5,5,5,38,4.75,1
813,4,5,4,5,4,4,4,5,35,4.375,1
1873,3,3,3,4,3,3,3,5,27,3.375,1
1937,4,3,4,4,4,3,3,5,30,3.75,0
980,3,4,3,4,3,4,3,5,29,3.625,1
1504,5,5,5,5,5,4,4,3,36,4.5,1
1727,4,3,4,3,3,3,2,5,27,3.375,1
1904,4,4,4,4,4,4,4,5,33,4.125,0
1890,3,4,4,3,4,4,3,5,30,3.75,0
195,3,3,3,3,3,2,2,4,23,2.875,0
1006,4,3,4,3,3,3,2,5,27,3.375,1
513,5,4,4,3,3,4,4,4,31,3.875,0
962,5,5,5,5,5,5,4,5,39,4.875,1
2467,5,4,5,5,5,4,4,4,36,4.5,1
1147,4,4,4,4,3,4,4,5,32,4.0,0
2047,4,4,4,4,3,4,4,5,32,4.0,0
986,4,4,4,3,3,4,4,5,31,3.875,1
2443,4,3,4,3,3,3,3,5,28,3.5,1
2539,4,4,3,4,3,4,4,5,31,3.875,1
844,5,4,5,5,5,5,4,5,38,4.75,1
1402,5,3,3,3,3,3,2,5,27,3.375,1
1509,5,4,5,5,4,4,4,3,34,4.25,1
1373,4,4,4,3,3,4,3,5,30,3.75,1
91,4,4,4,4,4,4,4,5,33,4.125,0
1617,3,3,3,3,3,3,3,5,26,3.25,1
959,5,4,5,5,5,4,4,5,37,4.625,1
2042,5,5,5,5,5,5,4,5,39,4.875,1
2632,4,4,4,4,3,4,3,5,31,3.875,0
149,5,4,4,3,3,4,4,4,31,3.875,0
1862,5,4,5,5,5,4,4,5,37,4.625,1
2529,4,4,4,3,3,4,3,5,30,3.75,1
2119,4,3,4,4,4,3,3,5,30,3.75,1
2895,4,4,4,4,4,4,3,5,32,4.0,1
1156,3,3,3,4,3,3,3,5,27,3.375,1
1288,4,4,3,4,4,4,3,5,31,3.875,0
508,5,4,4,4,5,4,5,5,36,4.5,0
525,3,3,3,3,3,3,3,5,26,3.25,1
838,5,4,4,4,4,4,3,5,33,4.125,1
1109,4,4,4,4,4,4,4,5,33,4.125,0
1196,4,5,4,4,4,4,4,5,34,4.25,0
2160,5,5,4,5,4,4,5,4,36,4.5,1
1724,5,4,4,4,4,4,4,4,33,4.125,1
2318,4,2,4,4,3,3,3,5,28,3.5,0
2808,4,3,4,3,3,3,2,5,27,3.375,1
938,5,4,4,4,4,5,4,5,35,4.375,1
1882,4,3,3,3,3,3,3,5,27,3.375,1
1199,5,4,4,4,4,4,3,4,32,4.0,0
1457,4,4,4,4,4,4,3,5,32,4.0,1
2618,5,5,5,5,5,5,4,5,39,4.875,1
1580,4,3,4,4,4,3,3,5,30,3.75,0
1303,5,5,5,5,5,5,4,5,39,4.875,1
1388,5,4,3,3,3,4,4,5,31,3.875,0
1923,5,4,4,4,4,4,3,5,33,4.125,1
2867,5,4,3,3,3,3,2,3,26,3.25,0
1019,5,5,4,4,5,4,5,3,35,4.375,0
1422,4,4,4,3,4,4,3,4,30,3.75,0
1824,3,4,4,4,3,4,4,5,31,3.875,1
2033,5,4,5,5,5,4,4,3,35,4.375,1
2030,4,4,3,3,3,4,4,3,28,3.5,0
2078,4,4,4,3,4,4,3,5,31,3.875,0
714,5,4,4,4,4,4,4,5,34,4.25,1
2122,4,5,5,5,5,4,5,5,38,4.75,1
1534,4,3,2,3,2,2,3,5,24,3.0,1
1451,4,4,4,4,5,5,5,3,34,4.25,1
1281,5,3,3,4,3,3,3,5,29,3.625,1
1400,4,4,5,4,4,4,3,5,33,4.125,0
2510,4,3,4,4,4,3,3,5,30,3.75,1
445,4,4,4,4,3,3,3,5,30,3.75,1
1198,4,4,4,4,4,4,4,5,33,4.125,1
2527,4,5,5,5,4,4,4,5,36,4.5,1
181,4,4,4,3,3,4,3,5,30,3.75,1
743,3,3,3,3,3,3,3,4,25,3.125,0
1442,5,4,4,4,4,4,4,5,34,4.25,1
1237,3,3,3,3,4,3,3,3,25,3.125,1
615,4,3,3,3,3,3,3,5,27,3.375,1
2393,5,3,4,4,3,4,3,5,31,3.875,0
1817,4,4,3,3,4,4,3,5,30,3.75,1
2066,3,4,4,4,3,4,3,5,30,3.75,1
416,5,5,5,5,5,5,4,5,39,4.875,1
2477,4,3,4,3,4,3,4,4,29,3.625,1
433,4,3,3,3,3,3,3,5,27,3.375,1
2885,4,3,3,3,3,3,3,5,27,3.375,1
1602,3,3,4,3,4,3,3,3,26,3.25,1
1207,5,5,5,5,5,5,5,5,40,5.0,1
1395,5,5,5,5,5,4,3,4,36,4.5,1
72,4,3,3,3,4,3,4,5,29,3.625,0
1379,5,5,4,5,5,5,5,5,39,4.875,1
406,5,4,5,5,5,4,4,5,37,4.625,1
1896,4,3,3,3,3,3,2,5,26,3.25,1
426,4,4,4,3,4,3,3,4,29,3.625,0
1410,4,4,4,4,4,3,3,5,31,3.875,1
994,3,4,4,4,4,4,4,5,32,4.0,1
768,5,5,5,5,5,4,4,5,38,4.75,1
1107,3,3,3,3,3,3,3,4,25,3.125,0
1840,5,5,5,5,5,4,4,3,36,4.5,1
1058,4,4,4,3,4,4,3,4,30,3.75,0
2686,5,5,5,5,5,4,5,5,39,4.875,1
837,5,5,4,4,5,4,5,3,35,4.375,0
993,4,3,3,3,3,3,2,5,26,3.25,1
1169,3,4,4,3,4,4,3,5,30,3.75,0
715,4,4,4,4,4,4,4,4,32,4.0,1
501,4,4,5,5,4,5,5,5,37,4.625,0
212,4,3,4,4,3,4,3,5,30,3.75,0
2614,3,4,4,4,4,4,4,5,32,4.0,1
2743,4,3,4,4,3,3,3,3,27,3.375,0
606,3,3,3,4,3,3,3,5,27,3.375,1
261,4,3,4,3,4,3,3,4,28,3.5,1
2384,5,5,5,5,4,5,4,5,38,4.75,1
1898,4,5,4,5,4,4,4,5,35,4.375,1
2319,5,5,5,5,5,5,5,5,40,5.0,0
598,5,5,5,5,5,5,4,5,39,4.875,1
2075,4,3,3,3,3,3,2,5,26,3.25,1
1002,4,3,3,3,3,3,2,5,26,3.25,1
1250,4,5,5,3,3,5,3,5,33,4.125,0
1952,4,5,5,5,5,4,5,5,38,4.75,1
2484,4,4,4,4,4,3,3,5,31,3.875,1
2709,4,5,5,5,4,4,4,5,36,4.5,1
395,4,3,4,4,3,3,3,3,27,3.375,0
2360,4,3,3,2,3,3,2,5,25,3.125,0
2374,4,4,4,4,3,3,3,3,28,3.5,0
764,5,5,5,5,4,5,4,5,38,4.75,1
2034,5,4,5,5,5,4,4,5,37,4.625,1
1326,5,5,5,5,5,5,4,5,39,4.875,1
2872,3,5,5,3,5,5,3,5,34,4.25,1
2049,4,5,4,4,4,5,4,5,35,4.375,1
1018,5,4,4,4,4,4,3,3,31,3.875,0
1334,3,3,3,4,3,3,3,5,27,3.375,1
268,4,4,4,3,4,4,3,5,31,3.875,0
368,4,4,3,3,4,4,3,5,30,3.75,1
1133,5,4,5,5,5,4,4,3,35,4.375,1
486,5,5,5,5,5,5,3,5,38,4.75,1
1881,4,4,4,4,4,4,4,4,32,4.0,1
1610,4,3,3,4,3,3,3,3,26,3.25,1
1946,4,3,4,3,4,3,4,5,30,3.75,0
110,5,4,4,4,4,4,3,5,33,4.125,1
654,5,4,4,4,4,4,3,3,31,3.875,0
2113,4,3,4,3,4,3,4,4,29,3.625,1
2263,2,2,3,3,3,3,3,5,24,3.0,0
99,4,4,4,3,3,4,3,5,30,3.75,1
511,3,4,3,4,3,4,3,5,29,3.625,1
2490,4,3,4,4,3,4,4,5,31,3.875,0
1692,4,4,4,3,4,4,3,5,31,3.875,1
2226,3,3,3,4,3,3,3,5,27,3.375,1
992,5,3,3,4,3,3,3,4,28,3.5,0
2176,5,5,5,5,5,5,4,5,39,4.875,0
611,5,5,3,5,3,5,5,5,36,4.5,1
418,5,3,4,4,4,4,3,5,32,4.0,0
