,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,TOTAL_SCORE,AVG_SCORE,CLASS
1687,4,4,4,4,3,4,4,5,32,4.0,0
1449,5,4,4,4,4,4,4,5,34,4.25,1
2605,5,4,4,4,4,4,4,5,34,4.25,1
612,4,4,4,4,4,4,4,5,33,4.125,1
566,5,4,5,4,4,4,4,5,35,4.375,1
1658,4,4,4,4,3,3,3,3,28,3.5,0
1684,5,5,5,5,5,5,4,5,39,4.875,1
210,5,4,4,4,4,5,4,5,35,4.375,1
2244,4,3,2,3,2,2,3,5,24,3.0,1
2959,5,5,3,5,3,5,5,5,36,4.5,1
1113,5,4,4,4,4,4,4,3,32,4.0,1
2768,5,4,5,5,5,4,4,4,36,4.5,1
2418,3,4,3,4,3,4,3,5,29,3.625,1
2004,4,3,3,2,3,3,2,5,25,3.125,0
2332,3,4,3,4,3,4,3,5,29,3.625,1
2728,5,3,3,3,3,3,3,4,27,3.375,0
2376,5,4,4,4,4,5,4,5,35,4.375,1
2522,4,5,4,4,4,4,4,5,34,4.25,0
2209,4,3,4,3,4,3,3,5,29,3.625,0
2635,5,5,4,5,5,5,5,5,39,4.875,1
2058,4,4,4,4,4,4,4,5,33,4.125,1
194,4,3,3,2,3,3,2,5,25,3.125,0
2044,5,5,5,5,5,5,4,5,39,4.875,1
1399,4,4,4,4,4,4,3,5,32,4.0,0
29,5,5,5,5,5,5,4,5,39,4.875,1
1651,3,3,3,3,3,2,2,4,23,2.875,0
859,4,3,3,2,3,2,3,4,24,3.0,1
894,3,4,3,4,3,4,3,5,29,3.625,1
2120,4,4,4,4,4,3,3,5,31,3.875,1
618,4,3,3,3,4,3,4,5,29,3.625,0
241,4,4,4,4,5,4,4,5,34,4.25,0
2857,3,3,3,3,4,3,3,3,25,3.125,1
710,3,2,3,3,3,3,3,5,25,3.125,0
1679,5,4,5,5,5,4,4,5,37,4.625,1
708,4,3,4,4,4,3,3,5,30,3.75,1
2495,3,4,3,4,3,4,3,5,29,3.625,1
1287,3,3,3,3,3,2,2,4,23,2.875,0
208,4,4,4,4,3,3,3,3,28,3.5,0
2285,5,4,5,5,5,4,4,4,36,4.5,1
2882,4,4,4,4,3,3,3,5,30,3.75,0
2967,4,4,4,4,3,4,3,4,30,3.75,1
1036,4,4,5,4,4,4,3,5,33,4.125,0
2546,5,3,3,3,3,3,3,4,27,3.375,0
614,4,4,4,4,4,4,4,4,32,4.0,1
983,4,4,4,4,3,4,3,4,30,3.75,1
789,4,4,4,3,3,3,3,5,29,3.625,1
1902,3,3,3,3,3,2,2,4,23,2.875,1
1849,5,5,5,5,4,5,4,5,38,4.75,1
1413,4,5,5,5,5,4,5,5,38,4.75,1
263,4,4,4,4,3,3,3,5,30,3.75,1
1055,3,3,3,3,4,3,3,3,25,3.125,1
923,3,3,3,3,3,2,2,4,23,2.875,0
1963,4,2,4,4,3,3,3,5,28,3.5,0
2521,4,3,3,3,3,3,3,5,27,3.375,1
2824,5,5,4,4,5,4,4,5,36,4.5,1
507,3,3,4,4,4,4,4,5,31,3.875,0
1362,5,5,5,5,5,5,4,5,39,4.875,1
810,5,3,3,4,3,3,3,4,28,3.5,0
1857,5,4,5,5,4,4,4,5,36,4.5,0
13,3,3,3,3,3,2,2,4,23,2.875,0
1680,5,5,5,5,5,4,4,3,36,4.5,1
1523,4,5,5,5,5,5,5,5,39,4.875,1
674,5,3,3,3,3,3,2,5,27,3.375,1
1210,5,3,5,4,4,3,3,5,32,4.0,1
2257,4,4,4,4,4,4,4,5,33,4.125,0
1032,5,5,5,5,5,5,3,5,38,4.75,1
1069,4,5,3,5,5,5,3,5,35,4.375,1
1633,4,4,4,4,5,5,5,3,34,4.25,1
1020,5,4,4,4,4,4,3,5,33,4.125,1
978,4,4,4,4,4,4,4,4,32,4.0,1
2465,5,4,5,5,5,5,4,5,38,4.75,1
857,4,3,4,3,4,3,4,4,29,3.625,1
2010,4,4,4,5,5,4,4,5,35,4.375,0
2305,4,5,5,5,5,4,5,5,38,4.75,1
2946,5,5,5,5,5,5,4,5,39,4.875,1
374,5,5,5,5,5,5,4,5,39,4.875,0
2437,3,3,3,3,3,2,2,4,23,2.875,1
1357,4,3,3,3,3,3,2,5,26,3.25,1
427,4,4,4,4,4,4,4,4,32,4.0,1
206,5,5,5,5,5,4,4,4,37,4.625,1
2135,5,5,5,4,5,4,5,5,38,4.75,0
2859,3,4,3,4,3,4,3,5,29,3.625,1
2341,5,4,4,4,4,4,4,5,34,4.25,1
2068,4,4,4,3,3,4,4,5,31,3.875,1
2212,5,3,3,3,4,3,3,3,27,3.375,0
1584,5,3,3,3,3,3,2,5,27,3.375,1
1918,5,5,4,5,5,5,5,5,39,4.875,1
1589,4,3,4,3,4,3,4,5,30,3.75,0
2082,4,4,4,4,4,4,3,5,32,4.0,0
1729,4,4,3,4,3,4,3,4,29,3.625,0
584,4,4,3,3,3,4,4,3,28,3.5,0
270,5,5,5,5,5,5,4,5,39,4.875,1
1393,5,4,5,5,5,4,4,4,36,4.5,1
1141,5,4,5,5,5,4,4,5,37,4.625,1
1135,4,3,4,3,4,3,3,5,29,3.625,0
2545,3,3,3,3,3,3,3,4,25,3.125,0
1835,5,4,5,5,5,5,4,5,38,4.75,1
2251,4,5,4,5,4,4,4,5,35,4.375,1
778,5,5,5,5,5,5,4,5,39,4.875,1
2493,3,3,3,3,4,3,3,3,25,3.125,1
271,3,3,3,3,3,2,2,4,23,2.875,1
1832,4,3,3,4,5,4,3,5,31,3.875,0
2202,5,5,5,5,4,5,4,5,38,4.75,1
2411,4,4,4,4,4,4,4,4,32,4.0,1
1085,5,4,4,4,4,4,4,5,34,4.25,1
1982,5,4,5,5,5,5,4,5,38,4.75,0
1823,5,5,5,5,5,5,4,5,39,4.875,0
140,4,4,3,4,4,4,4,5,32,4.0,0
2446,4,4,3,4,3,4,3,4,29,3.625,0
145,3,3,3,3,4,3,3,3,25,3.125,1
1559,4,4,4,4,4,4,4,5,33,4.125,0
1462,4,4,4,3,3,3,3,3,27,3.375,1
1968,4,5,5,5,5,5,5,3,37,4.625,0
135,4,3,4,4,4,3,3,5,30,3.75,1
2382,5,4,5,5,5,5,5,5,39,4.875,1
554,4,4,4,4,4,4,4,5,33,4.125,1
2723,3,4,4,4,3,4,4,5,31,3.875,1
944,5,4,5,5,5,5,5,5,39,4.875,1
252,3,4,3,4,3,4,3,5,29,3.625,1
707,3,3,3,3,3,3,3,5,26,3.25,1
1059,5,4,4,3,3,4,4,4,31,3.875,0
2380,5,5,4,5,5,4,4,5,37,4.625,0
787,4,4,4,4,5,4,4,5,34,4.25,0
898,4,4,4,4,3,3,3,5,30,3.75,0
393,5,5,5,5,5,5,4,5,39,4.875,1
2170,4,4,3,3,4,4,3,5,30,3.75,1
1975,3,2,3,3,3,3,3,5,25,3.125,0
2473,4,4,4,4,4,4,3,5,32,4.0,0
802,3,4,4,4,3,4,3,5,30,3.75,1
1271,4,5,5,5,4,4,4,5,36,4.5,1
2148,3,2,3,3,3,3,3,5,25,3.125,0
1103,3,4,4,4,3,4,4,5,31,3.875,1
712,3,4,3,4,3,4,3,5,29,3.625,1
976,4,4,4,4,4,4,4,5,33,4.125,1
2900,4,4,4,3,3,3,3,3,27,3.375,1
1497,5,4,5,5,5,4,4,3,35,4.375,1
352,4,4,4,4,3,3,3,5,30,3.75,0
1510,5,3,4,4,4,4,3,5,32,4.0,0
2396,5,5,5,5,5,4,4,3,36,4.5,1
794,4,4,4,4,4,4,4,5,33,4.125,1
1530,3,4,4,4,3,4,3,5,30,3.75,1
1157,5,5,3,5,3,5,5,5,36,4.5,1
1640,4,3,3,3,3,3,2,5,26,3.25,0
2370,5,4,5,5,5,5,4,5,38,4.75,1
1997,4,4,3,3,3,3,3,5,28,3.5,1
975,5,5,3,5,3,5,5,5,36,4.5,1
656,5,4,4,4,4,4,3,5,33,4.125,1
755,5,5,5,5,5,4,4,3,36,4.5,1
601,4,4,4,4,3,4,4,5,32,4.0,0
1136,5,4,5,5,4,4,4,5,36,4.5,0
1432,4,5,5,3,3,5,3,5,33,4.125,0
219,5,5,4,5,4,5,5,5,38,4.75,1
2908,4,4,3,4,4,4,3,5,31,3.875,0
1525,4,3,3,3,3,3,3,5,27,3.375,1
2171,4,4,3,3,3,3,3,5,28,3.5,1
2440,4,3,3,3,3,3,2,5,26,3.25,1
220,4,4,3,3,3,4,4,3,28,3.5,0
2439,4,4,4,4,4,4,4,5,33,4.125,0
2855,3,3,4,4,4,4,4,5,31,3.875,0
2566,5,5,5,5,4,5,4,5,38,4.75,1
47,5,4,5,5,5,4,4,5,37,4.625,1
73,4,4,4,4,3,4,3,4,30,3.75,1
14,4,4,3,4,4,4,3,5,31,3.875,0
659,4,3,4,4,4,3,3,4,29,3.625,1
359,4,4,4,4,5,5,5,3,34,4.25,1
1042,5,5,5,5,5,5,4,5,39,4.875,0
972,4,4,4,3,4,3,3,4,29,3.625,0
762,5,4,5,5,5,5,5,5,39,4.875,1
1337,4,4,4,4,4,4,4,4,32,4.0,1
1387,4,3,4,4,4,3,3,4,29,3.625,1
493,4,3,4,3,4,3,4,4,29,3.625,1
1089,4,5,5,5,4,4,4,5,36,4.5,1
2003,3,4,4,4,3,4,4,5,31,3.875,1
1353,4,3,4,3,4,3,3,4,28,3.5,1
1938,4,4,4,4,4,4,3,5,32,4.0,0
233,5,4,5,5,5,4,4,5,37,4.625,1
2457,5,5,4,4,5,4,5,3,35,4.375,0
1743,5,5,4,4,5,4,4,5,36,4.5,1
11,3,4,4,4,3,4,4,5,31,3.875,1
1293,4,3,3,4,5,4,3,5,31,3.875,0
607,4,4,4,3,3,3,3,5,29,3.625,1
463,4,4,4,3,3,4,3,5,30,3.75,1
2470,5,5,5,5,5,5,3,5,38,4.75,1
2597,4,5,5,5,5,5,5,5,39,4.875,1
2428,4,4,3,4,3,4,3,5,30,3.75,0
2504,5,5,5,5,5,4,5,5,39,4.875,1
2576,5,3,3,3,4,3,3,3,27,3.375,0
2354,4,4,4,3,3,3,3,3,27,3.375,1
1611,5,4,3,3,3,3,2,3,26,3.25,0
2650,5,3,5,4,4,4,3,4,32,4.0,0
1901,5,5,5,5,5,5,4,5,39,4.875,1
2240,3,4,4,4,3,4,3,5,30,3.75,1
1127,5,3,3,4,5,3,3,3,29,3.625,1
2830,5,3,5,4,4,3,3,5,32,4.0,1
849,5,5,5,5,5,4,3,4,36,4.5,1
751,4,3,3,3,5,3,3,3,27,3.375,0
543,4,5,5,5,4,4,4,5,36,4.5,1
2207,5,4,5,5,5,4,4,3,35,4.375,1
1792,3,3,3,3,3,3,3,5,26,3.25,1
1450,5,5,4,5,4,4,5,4,36,4.5,1
1056,3,3,4,3,4,3,3,3,26,3.25,1
635,3,3,3,3,3,2,2,4,23,2.875,1
299,5,4,5,5,5,5,4,5,38,4.75,1
247,5,5,3,5,3,5,5,5,36,4.5,1
1648,5,5,5,5,5,5,4,5,39,4.875,0
146,3,3,4,3,4,3,3,3,26,3.25,1
1070,3,5,5,3,5,5,3,5,34,4.25,1
304,5,5,5,5,5,5,3,5,38,4.75,1
2564,5,4,5,5,5,5,5,5,39,4.875,1
931,5,4,4,4,4,4,4,3,32,4.0,1
1993,4,4,4,4,4,4,3,5,32,4.0,1
2180,4,4,3,4,4,4,3,5,31,3.875,0
2833,5,5,5,5,5,4,3,4,36,4.5,1
1241,5,4,4,3,3,4,4,4,31,3.875,0
881,5,5,5,5,5,5,5,5,40,5.0,0
630,3,4,4,4,4,4,4,5,32,4.0,1
627,4,4,4,4,3,3,3,5,30,3.75,1
2595,5,5,3,5,3,5,5,5,36,4.5,1
2187,5,4,4,4,4,4,4,3,32,4.0,1
423,4,4,4,4,5,4,4,5,34,4.25,0
370,4,4,4,3,3,3,3,3,27,3.375,1
139,4,5,5,5,5,4,5,5,38,4.75,1
2670,4,4,3,4,4,4,4,5,32,4.0,0
2827,5,5,5,5,5,5,5,5,40,5.0,1
2077,4,5,4,5,4,4,4,5,35,4.375,1
1734,4,4,4,4,4,4,4,5,33,4.125,0
1955,4,3,4,4,3,4,4,5,31,3.875,0
798,3,4,3,4,3,4,3,5,29,3.625,1
1663,4,3,4,4,3,3,3,3,27,3.375,0
2317,5,5,5,4,5,4,5,5,38,4.75,0
842,5,4,3,3,3,4,4,5,31,3.875,0
494,4,3,4,4,4,3,3,3,28,3.5,1
1669,5,5,4,5,4,5,5,5,38,4.75,1
2776,3,3,3,4,3,3,3,5,27,3.375,1
1718,4,4,4,4,3,4,4,5,32,4.0,1
1784,5,5,5,5,5,5,5,5,40,5.0,0
2854,4,3,4,4,3,4,4,5,31,3.875,0
1739,5,4,4,4,4,4,3,3,31,3.875,0
1332,4,3,3,3,3,3,3,5,27,3.375,1
2935,5,4,5,5,5,4,4,3,35,4.375,1
2956,4,4,4,3,4,3,3,4,29,3.625,0
1787,5,5,5,5,5,4,5,5,39,4.875,1
1673,5,4,5,5,5,4,4,3,35,4.375,1
2356,4,4,4,4,4,4,4,5,33,4.125,1
1987,4,4,4,4,5,5,5,3,34,4.25,1
1794,4,3,4,2,2,2,2,5,24,3.0,0
1247,5,4,3,3,3,3,2,3,26,3.25,0
1217,4,4,4,4,4,4,3,5,32,4.0,0
1701,3,4,3,4,3,4,3,5,29,3.625,1
1261,4,4,4,4,4,4,4,4,32,4.0,1
1160,4,4,4,4,4,4,4,4,32,4.0,1
1866,5,4,5,5,4,4,4,3,34,4.25,1
650,4,5,4,4,4,4,4,5,34,4.25,0
2534,4,4,3,3,4,4,3,5,30,3.75,1
2046,5,3,4,4,4,4,3,5,32,4.0,0
1756,4,4,4,4,4,4,3,5,32,4.0,0
1438,3,2,3,3,3,3,3,5,25,3.125,0
1005,4,3,4,3,3,3,3,5,28,3.5,1
537,4,3,3,3,3,3,3,5,27,3.375,1
1577,5,5,5,5,5,4,3,4,36,4.5,1
1273,4,4,4,3,3,4,3,5,30,3.75,1
533,4,4,4,4,4,4,4,4,32,4.0,1
1994,4,3,3,3,3,3,2,5,26,3.25,0
2358,5,5,5,5,5,5,4,5,39,4.875,0
1240,4,4,4,3,4,4,3,4,30,3.75,0
1713,5,3,3,4,3,3,3,4,28,3.5,0
190,4,4,4,4,4,4,4,5,33,4.125,1
1728,2,2,3,3,3,3,3,5,24,3.0,0
1760,4,3,4,3,4,3,4,4,29,3.625,1
1071,3,3,3,3,3,3,3,5,26,3.25,1
2907,3,3,3,3,3,2,2,4,23,2.875,0
2218,5,5,5,5,5,5,4,5,39,4.875,1
519,5,4,3,3,3,3,2,3,26,3.25,0
827,4,4,4,3,3,4,3,5,30,3.75,1
1962,5,5,5,4,5,4,5,5,38,4.75,0
2627,2,2,3,3,3,3,3,5,24,3.0,0
2024,5,5,4,5,5,4,4,5,37,4.625,0
2333,4,3,3,3,3,3,3,5,27,3.375,1
2866,4,3,3,4,3,3,3,3,26,3.25,1
907,4,5,5,5,4,4,4,5,36,4.5,1
1863,5,5,5,5,5,5,4,5,39,4.875,1
528,3,2,3,3,3,3,3,5,25,3.125,0
59,4,4,4,4,5,4,4,5,34,4.25,0
477,4,3,4,4,4,3,3,4,29,3.625,1
82,5,3,3,4,3,3,3,4,28,3.5,0
76,4,4,4,3,3,4,4,5,31,3.875,1
2639,5,5,4,4,5,4,5,3,35,4.375,0
1976,5,5,4,5,4,5,4,5,37,4.625,0
15,3,3,3,3,3,3,3,4,25,3.125,0
1080,4,4,4,4,3,3,3,5,30,3.75,0
1671,5,5,5,5,5,4,4,5,38,4.75,1
2572,5,4,5,5,5,4,4,5,37,4.625,1
468,4,5,4,4,4,4,4,5,34,4.25,0
1155,4,4,4,4,4,4,4,4,32,4.0,1
1737,4,4,4,4,4,4,4,5,33,4.125,1
2492,5,4,4,4,5,4,5,5,36,4.5,0
2860,4,4,4,3,4,4,3,4,30,3.75,0
1087,4,4,4,4,5,5,5,3,34,4.25,1
967,4,5,4,4,4,5,4,5,35,4.375,1
2206,5,5,5,5,5,4,4,5,38,4.75,1
1175,4,3,3,3,3,3,2,5,26,3.25,1
1238,3,3,4,3,4,3,3,3,26,3.25,1
328,3,3,4,3,4,3,3,3,26,3.25,1
1667,5,3,3,4,5,3,3,3,29,3.625,1
2361,3,3,3,3,3,2,2,4,23,2.875,0
1562,4,4,4,4,4,4,4,5,33,4.125,1
1594,4,5,5,5,5,4,5,5,38,4.75,1
1351,3,4,4,3,4,4,3,5,30,3.75,0
1007,2,2,3,3,3,3,3,5,24,3.0,0
437,4,4,4,4,3,4,3,4,30,3.75,1
643,2,2,3,3,3,3,3,5,24,3.0,0
2196,4,3,4,4,3,4,3,5,30,3.75,0
899,5,4,5,5,5,5,4,5,38,4.75,0
1628,3,4,3,3,3,3,3,5,27,3.375,0
2464,5,4,5,5,5,5,4,5,38,4.75,1
112,5,5,4,4,5,4,4,5,36,4.5,1
552,4,4,4,3,3,3,3,3,27,3.375,1
40,5,5,5,5,5,4,4,5,38,4.75,1
1348,3,4,4,4,3,4,3,5,30,3.75,1
249,4,5,5,5,5,5,5,5,39,4.875,1
19,4,3,3,4,5,4,3,5,31,3.875,0
398,5,4,5,5,5,5,5,5,39,4.875,1
18,4,4,4,5,5,4,4,5,35,4.375,0
256,3,4,4,4,3,4,3,5,30,3.75,1
386,5,4,5,5,5,5,4,5,38,4.75,1
1307,4,4,4,5,5,4,3,5,34,4.25,0
128,5,3,3,3,3,3,2,5,27,3.375,1
2891,4,5,5,5,4,4,4,5,36,4.5,1
264,5,3,3,4,3,3,3,4,28,3.5,0
2371,4,3,3,3,5,3,3,3,27,3.375,0
2876,3,2,3,3,3,3,3,5,25,3.125,0
1498,5,4,5,5,5,4,4,5,37,4.625,1
732,4,4,3,3,4,4,3,5,30,3.75,1
740,4,3,3,2,3,3,2,5,25,3.125,0
2364,5,3,3,3,3,3,3,4,27,3.375,0
2349,4,4,4,4,4,4,3,5,32,4.0,1
2906,4,3,3,2,3,3,2,5,25,3.125,0
1695,3,3,3,4,4,4,3,5,29,3.625,1
2006,4,4,3,4,4,4,3,5,31,3.875,0
1045,4,3,4,4,4,3,3,5,30,3.75,1
966,5,4,5,5,5,4,4,4,36,4.5,1
1966,5,4,3,3,3,3,2,3,26,3.25,0
815,4,4,4,4,3,4,4,5,32,4.0,1
2798,4,4,4,3,4,4,3,5,31,3.875,0
2252,4,4,4,3,4,4,3,5,31,3.875,0
2561,4,3,4,4,3,3,3,3,27,3.375,0
735,5,3,3,4,3,3,3,5,29,3.625,1
1886,4,4,4,4,3,4,3,4,30,3.75,1
2706,5,5,4,5,4,4,5,4,36,4.5,1
2071,4,3,4,3,4,3,3,4,28,3.5,1
1710,4,3,4,3,4,3,3,4,28,3.5,1
187,4,4,3,3,3,3,3,5,28,3.5,1
539,5,4,4,4,4,4,4,5,34,4.25,1
2848,4,4,4,4,4,3,3,5,31,3.875,1
1192,4,4,5,4,4,4,4,5,34,4.25,0
1027,5,4,5,5,5,5,4,5,38,4.75,1
2041,5,4,5,5,5,4,4,5,37,4.625,1
901,4,3,3,3,3,3,3,5,27,3.375,1
1533,3,4,4,3,4,4,3,5,30,3.75,0
1014,4,5,4,4,4,4,4,5,34,4.25,0
2791,4,3,4,3,4,3,3,4,28,3.5,1
823,4,3,4,3,3,3,3,5,28,3.5,1
803,5,4,4,4,4,4,4,5,34,4.25,1
1634,4,3,3,4,3,3,3,5,28,3.5,0
415,5,4,5,5,5,4,4,5,37,4.625,1
2478,4,3,4,4,4,3,3,3,28,3.5,1
1132,5,5,5,5,5,4,4,5,38,4.75,1
1128,5,5,5,5,4,5,4,5,38,4.75,1
402,4,4,3,3,3,4,4,3,28,3.5,0
2966,4,3,3,3,4,3,4,5,29,3.625,0
1891,4,3,2,3,2,2,3,5,24,3.0,1
963,5,4,5,5,4,4,4,3,34,4.25,1
2279,4,3,4,4,4,3,3,4,29,3.625,1
734,4,4,4,3,3,3,3,3,27,3.375,1
2410,4,4,4,3,4,3,3,4,29,3.625,0
1025,5,5,5,5,5,5,5,5,40,5.0,1
1647,4,4,3,4,3,4,4,5,31,3.875,1
161,3,3,3,3,3,3,3,5,26,3.25,1
1346,4,3,3,3,4,3,4,5,29,3.625,0
1796,5,5,4,5,4,5,4,5,37,4.625,0
661,5,5,5,5,5,5,5,5,40,5.0,1
1309,5,3,3,4,5,3,3,3,29,3.625,1
2654,4,3,4,4,4,3,3,5,30,3.75,0
2372,5,5,5,5,5,4,4,4,37,4.625,1
653,5,4,4,4,4,4,3,4,32,4.0,0
378,4,4,3,4,4,4,3,5,31,3.875,0
2203,5,5,4,5,4,5,5,5,38,4.75,1
1917,4,5,4,4,4,4,4,5,34,4.25,0
482,5,3,5,4,4,3,3,5,32,4.0,1
1900,4,4,4,4,3,4,4,5,32,4.0,1
277,4,3,4,3,3,3,3,5,28,3.5,1
2836,4,3,4,4,4,3,3,5,30,3.75,0
2424,4,4,4,3,3,4,4,5,31,3.875,1
733,4,4,3,3,3,3,3,5,28,3.5,1
2563,4,4,4,5,5,4,3,5,34,4.25,0
1477,5,4,4,4,4,4,4,3,32,4.0,1
1721,4,4,4,4,4,4,3,5,32,4.0,0
111,5,4,4,4,4,4,3,5,33,4.125,1
272,4,4,4,4,4,4,3,5,32,4.0,0
2243,3,4,4,3,4,4,3,5,30,3.75,0
2610,4,4,3,4,3,4,3,5,30,3.75,0
2816,4,5,4,4,4,4,4,5,34,4.25,0
2115,4,3,3,2,3,2,3,4,24,3.0,1
2965,4,4,4,4,4,4,4,5,33,4.125,0
1026,5,4,5,5,5,5,4,5,38,4.75,1
474,5,4,4,4,4,4,3,5,33,4.125,1
2531,4,4,4,4,4,4,3,5,32,4.0,1
2734,5,4,5,5,5,5,4,5,38,4.75,1
560,4,4,3,4,4,4,3,5,31,3.875,0
1110,4,4,4,5,5,4,4,5,35,4.375,0
1106,4,4,3,4,4,4,3,5,31,3.875,0
399,5,3,3,4,5,3,3,3,29,3.625,1
240,4,3,3,3,3,3,3,5,27,3.375,1
1506,5,5,5,5,4,5,4,5,38,4.75,1
1956,3,3,4,4,4,4,4,5,31,3.875,0
1949,4,4,4,4,4,3,3,5,31,3.875,1
845,5,4,5,5,5,5,4,5,38,4.75,1
1502,5,3,3,3,4,3,3,3,27,3.375,0
2741,5,5,5,5,5,5,4,5,39,4.875,1
1757,4,4,5,4,4,4,3,5,33,4.125,0
184,4,3,3,3,3,3,2,5,26,3.25,0
2156,3,4,3,3,3,3,3,5,27,3.375,0
1126,5,4,5,5,5,5,5,5,39,4.875,1
2015,4,3,3,3,5,3,3,3,27,3.375,0
230,5,5,5,5,5,4,4,3,36,4.5,1
1688,4,5,4,4,4,5,4,5,35,4.375,1
559,3,3,3,3,3,2,2,4,23,2.875,0
211,5,5,5,5,5,5,4,5,39,4.875,1
1595,4,5,5,5,5,4,5,5,38,4.75,1
20,5,4,5,4,4,4,4,5,35,4.375,1
495,4,3,3,2,3,2,3,4,24,3.0,1
170,4,4,4,4,3,3,3,5,30,3.75,0
1359,4,5,4,5,4,4,4,5,35,4.375,1
358,5,5,4,5,4,4,5,4,36,4.5,1
2009,4,4,4,4,4,4,4,5,33,4.125,0
1867,5,3,4,4,4,4,3,5,32,4.0,0
462,4,4,3,4,3,4,3,4,29,3.625,0
1998,4,4,4,3,3,3,3,3,27,3.375,1
924,4,4,3,4,4,4,3,5,31,3.875,0
341,4,5,3,5,5,5,3,5,35,4.375,1
663,5,4,5,5,5,5,4,5,38,4.75,1
1134,5,4,5,5,5,4,4,5,37,4.625,1
2103,5,4,5,5,5,4,4,4,36,4.5,1
1470,4,4,3,4,4,4,3,5,31,3.875,0
793,5,5,3,5,3,5,5,5,36,4.5,1
101,5,4,4,4,4,3,3,5,32,4.0,0
1284,5,5,5,5,5,5,4,5,39,4.875,0
7,5,3,3,4,3,3,3,5,29,3.625,1
1583,5,3,5,4,5,5,3,5,35,4.375,1
833,5,5,4,5,5,5,5,5,39,4.875,1
2128,5,4,4,4,5,4,5,5,36,4.5,0
1670,4,4,3,3,3,4,4,3,28,3.5,0
2051,4,4,4,4,5,4,4,5,34,4.25,0
176,5,5,4,5,4,4,5,4,36,4.5,1
1578,5,5,5,5,5,5,3,5,38,4.75,1
819,4,4,4,4,4,4,4,5,33,4.125,0
2707,4,4,4,4,5,5,5,3,34,4.25,1
797,4,3,3,3,3,3,3,5,27,3.375,1
2684,4,3,3,4,3,3,3,3,26,3.25,1
2183,4,4,4,4,4,4,4,5,33,4.125,0
1846,4,4,4,5,5,4,3,5,34,4.25,0
1159,4,5,5,5,5,5,5,5,39,4.875,1
1469,3,3,3,3,3,2,2,4,23,2.875,0
2958,3,3,3,4,3,3,3,5,27,3.375,1
1874,4,4,4,3,3,3,3,5,29,3.625,1
2468,5,3,5,4,4,4,3,4,32,4.0,0
1767,4,4,4,4,4,3,3,5,31,3.875,1
1969,4,5,5,3,3,5,3,5,33,4.125,0
1161,4,3,3,3,3,3,3,5,27,3.375,1
2647,5,4,5,5,5,5,4,5,38,4.75,1
376,4,3,3,2,3,3,2,5,25,3.125,0
278,4,3,4,3,3,3,2,5,27,3.375,1
1124,5,5,4,5,5,4,4,5,37,4.625,0
339,4,5,5,5,5,5,5,3,37,4.625,0
131,4,3,3,2,3,2,3,4,24,3.0,1
1232,4,4,3,4,4,4,4,5,32,4.0,0
1188,4,3,4,3,3,3,2,5,27,3.375,1
1231,4,5,5,5,5,4,5,5,38,4.75,1
2355,5,3,3,4,3,3,3,5,29,3.625,1
